c,H,oos_r2_median,oos_r2_mean,oos_r2_std,n_obs,lambda_median
0.9,60.0,0.06742188439528196,0.12163021106668288,0.16115241329729854,196,154.52419634404066
0.9,90.0,0.06454665136451976,0.12260694099333624,0.16738271120259918,196,149.64749542133637
0.9,120.0,0.061881890934571415,0.12226065329959455,0.17030834330451816,196,143.21311529799686
0.9,180.0,0.05958000202405839,0.12074288777020412,0.17270685866559835,196,136.04068941841723
1.0,5.0,0.023096261170475307,0.03791225073569435,0.06594021929211302,196,289.0173783247597
1.0,10.0,0.04238859296721259,0.06652428975699229,0.09693462187011335,196,264.7432135476482
1.0,15.0,0.0494036589866072,0.08353838648785714,0.11591429676895064,196,254.86260496749256
1.0,30.0,0.06091106166390403,0.10528427327131985,0.14483533434114468,196,232.49737285620637
1.0,45.0,0.0637443844423623,0.11232201270840421,0.15757841999100922,196,216.10217868736746
1.0,60.0,0.06596171511646498,0.11507250298649789,0.16447500402839765,196,202.3515620300982
1.0,90.0,0.06458687658745754,0.11661155982046834,0.17142076822283006,196,186.60613305863876
1.0,120.0,0.06239725620608122,0.1165234592084322,0.1746406085444176,196,180.4245512417017
1.0,180.0,0.05825001153365511,0.11522473694982721,0.17724428596973296,196,169.46069760478943
