train_month,val_month,stock,lambda,alpha,is_r2,oos_r2,c,H
3,5,AMD,11.027618233318968,0.0,0.16094541261122752,0.16925393653089948,0.3,5.0
3,5,AMGN,9.198075119203821,0.0,0.08107532998406619,0.08750620204374193,0.3,5.0
3,5,AMZN,12.566155774480624,0.0,0.17310412729329205,0.15859057095755236,0.3,5.0
3,5,AOS,7.350581700831603,0.0,0.13023045507306197,0.09192968717506012,0.3,5.0
3,5,APA,6.204251565226052,0.0,0.08731734949078507,0.08654520609196181,0.3,5.0
3,5,APC,7.575187535190829,0.0,0.0820523658204102,0.04546079345145426,0.3,5.0
4,6,AAL,8.38224856124263,0.0,0.1319706657060652,0.1211308008840144,0.3,5.0
4,6,AAPL,8.935063018377678,0.0,0.12937565184338107,0.10786649353651634,0.3,5.0
4,6,ABBV,7.8549532316485156,0.0,0.09013155940793849,0.07764917955494677,0.3,5.0
4,6,ABT,6.2202563593453455,0.0,0.07310805285444522,0.0785615882600128,0.3,5.0
4,6,ADBE,7.337707431563283,0.0,0.1314316691648999,0.0859480208541955,0.3,5.0
4,6,ADI,7.538501855568055,0.0,0.09187916542738728,0.07096016789973525,0.3,5.0
4,6,ADM,8.128180868385018,0.0,0.13149748817882567,0.12701548470787216,0.3,5.0
4,6,ADP,8.364917921063011,0.0,0.1281862835732387,0.09534399155815276,0.3,5.0
4,6,ADSK,7.779574274284077,0.0,0.10687716857683793,0.10250761878813663,0.3,5.0
4,6,AEP,6.85942829011706,0.0,0.07487810430675534,0.09408503751294472,0.3,5.0
4,6,AES,7.182457866497531,0.0,0.17562557968182935,0.1796631602220501,0.3,5.0
4,6,AFL,6.424186288198596,0.0,0.13104017956470093,0.1264473899587385,0.3,5.0
4,6,AIG,7.5250215880873865,0.0,0.12049982941526427,0.1155071936454013,0.3,5.0
4,6,AMAT,7.19596833946943,0.0,0.10878506876199123,0.10015884065018266,0.3,5.0
4,6,AMD,8.782187674731187,0.0,0.1602824907757937,0.16161533076090684,0.3,5.0
4,6,AMGN,11.346387892461168,0.0,0.10963198884545822,0.06078175916205997,0.3,5.0
4,6,AMZN,8.728129765884749,0.0,0.1495683194420444,0.14284604619353058,0.3,5.0
4,6,AOS,7.121374172572605,0.0,0.13131684983125635,0.10559617476916705,0.3,5.0
4,6,APA,7.100221422594479,0.0,0.09291042067770894,0.10490875848545433,0.3,5.0
4,6,APC,6.685966358632058,0.0,0.07558955579381277,0.08354988234997751,0.3,5.0
5,7,AAL,8.53282890940026,0.0,0.12081312660055465,0.14073683524807135,0.3,5.0
5,7,AAPL,13.695335780639798,0.0,0.1296857635125911,0.07140305886361442,0.3,5.0
5,7,ABBV,7.29480743721724,0.0,0.07792812694296247,0.07983474964124515,0.3,5.0
5,7,ABT,6.789196927634069,0.0,0.08302522194929474,0.08172930135634715,0.3,5.0
5,7,ADBE,7.352503259258837,0.0,0.06807338521124617,0.08484054886552783,0.3,5.0
5,7,ADI,9.12165491351572,0.0,0.08234634720720213,0.05108652600150054,0.3,5.0
5,7,ADM,7.2840403148885855,0.0,0.10907343975999062,0.1119153825615734,0.3,5.0
5,7,ADP,7.526994677753554,0.0,0.08890359469825304,0.08673511714807658,0.3,5.0
5,7,ADSK,7.884513006945764,0.0,0.08445676440019823,0.08449839718116203,0.3,5.0
5,7,AEP,6.662585787988031,0.0,0.07675215500648713,0.0842994291267285,0.3,5.0
5,7,AES,7.339337960711339,0.0,0.15693985194054616,0.15436738050554877,0.3,5.0
5,7,AFL,7.937326057299648,0.0,0.10800290285616765,0.12432406336795432,0.3,5.0
5,7,AIG,7.528712718036562,0.0,0.09176949369430776,0.12154653463508969,0.3,5.0
5,7,AMAT,9.08148214279002,0.0,0.1099961755499762,0.07960986987060437,0.3,5.0
5,7,AMD,11.473417194271539,0.0,0.1695098624729373,0.14933013108031512,0.3,5.0
5,7,AMGN,9.719752757386733,0.0,0.08775903753105119,0.08963209233448854,0.3,5.0
5,7,AMZN,12.433417547805144,0.0,0.1586086524453384,0.1557611887651601,0.3,5.0
5,7,AOS,8.192647717511187,0.0,0.09291124664235195,0.08774079488427267,0.3,5.0
5,7,APA,7.467763229827696,0.0,0.08909788803046859,0.1149671662235876,0.3,5.0
5,7,APC,4.894011026515947,0.0,0.06497455453331002,0.05922555206144242,0.3,5.0
6,8,AAL,8.06204724994496,0.0,0.1213221823403221,0.12721421168840685,0.3,5.0
6,8,AAPL,10.339186235552152,0.0,0.10989454641444862,0.11856483983307298,0.3,5.0
6,8,ABBV,7.20773529218161,0.0,0.0782803650027093,0.06924799884463106,0.3,5.0
6,8,ABT,6.121979816895353,0.0,0.07858194176673139,0.07107399719793817,0.3,5.0
6,8,ADBE,6.623831567751289,0.0,0.08695833532970587,0.06880389614953841,0.3,5.0
6,8,ADI,6.448262414164895,0.0,0.07304929318714204,0.037228575873820335,0.3,5.0
6,8,ADM,7.603304852570333,0.0,0.12762405473618,0.09216651330226522,0.3,5.0
6,8,ADP,7.739518253719576,0.0,0.09597074563027963,0.07049809271941221,0.3,5.0
6,8,ADSK,7.009803259708445,0.0,0.10376172920462445,0.07300990618867265,0.3,5.0
6,8,AEP,7.600091889466741,0.0,0.09498718949648444,0.07022815780553593,0.3,5.0
